step,epoch,iteration,loss
0,1,1,10.525643348693848
1,1,2,7.688570022583008
2,1,3,8.713828086853027
3,1,4,9.77155590057373
4,1,5,9.249897956848145
5,1,6,8.755615234375
6,1,7,8.996230125427246
7,1,8,7.993913650512695
8,1,9,7.656357288360596
9,1,10,7.1457648277282715
10,1,11,7.211199760437012
11,1,12,6.739781856536865
12,1,13,6.033552169799805
13,1,14,5.79229211807251
14,1,15,5.21325159072876
15,1,16,4.369376182556152
16,1,17,4.457284450531006
17,1,18,4.216434478759766
18,1,19,4.145153999328613
19,1,20,3.886711597442627
20,1,21,3.65968918800354
21,1,22,3.8312442302703857
22,1,23,3.5791144371032715
23,1,24,3.470524311065674
24,1,25,3.471421241760254
25,1,26,3.6342408657073975
26,1,27,3.039931535720825
27,1,28,3.1285009384155273
28,1,29,2.6288912296295166
29,1,30,2.562299966812134
30,2,1,2.46697735786438
31,2,2,2.261183738708496
32,2,3,2.322813034057617
33,2,4,2.303614854812622
34,2,5,2.29477596282959
35,2,6,2.134223699569702
36,2,7,1.895816683769226
37,2,8,2.0619399547576904
38,2,9,2.087632417678833
39,2,10,2.01017689704895
40,2,11,1.890883207321167
41,2,12,1.9238797426223755
42,2,13,1.8991327285766602
43,2,14,2.2077796459198
44,2,15,1.88625168800354
45,2,16,1.8149536848068237
46,2,17,1.8140525817871094
47,2,18,1.6486355066299438
48,2,19,1.7327996492385864
49,2,20,1.7975857257843018
50,2,21,1.7696630954742432
51,2,22,1.855398416519165
52,2,23,1.6430491209030151
53,2,24,1.6401522159576416
54,2,25,1.755493402481079
55,2,26,1.6581777334213257
56,2,27,1.7586114406585693
57,2,28,1.6142120361328125
58,2,29,1.59810471534729
59,2,30,1.7740039825439453
60,3,1,1.5955302715301514
61,3,2,1.5836015939712524
62,3,3,1.6416311264038086
63,3,4,1.4987261295318604
64,3,5,1.6524109840393066
65,3,6,1.5968693494796753
66,3,7,1.7295840978622437
67,3,8,1.4874775409698486
68,3,9,1.3985978364944458
69,3,10,1.4106500148773193
70,3,11,1.326586365699768
71,3,12,1.3773369789123535
72,3,13,1.3026446104049683
73,3,14,1.5186012983322144
74,3,15,1.4209165573120117
75,3,16,1.3551394939422607
76,3,17,1.397090196609497
77,3,18,1.458591103553772
78,3,19,1.5087770223617554
79,3,20,1.3852976560592651
80,3,21,1.4086196422576904
81,3,22,1.4233728647232056
82,3,23,1.4258660078048706
83,3,24,1.4161053895950317
84,3,25,1.3616743087768555
85,3,26,1.428841471672058
86,3,27,1.2519627809524536
87,3,28,1.2991328239440918
88,3,29,1.2928699254989624
89,3,30,1.5844227075576782
