step,epoch,iteration,loss
0,1,1,10.49426555633545
1,1,2,7.4120659828186035
2,1,3,8.522414207458496
3,1,4,9.691686630249023
4,1,5,9.26359748840332
5,1,6,7.7381134033203125
6,1,7,7.593646049499512
7,2,1,7.848927021026611
8,2,2,6.9129958152771
9,2,3,6.416075706481934
10,2,4,5.748824596405029
11,2,5,5.717306137084961
12,2,6,5.3992743492126465
13,2,7,5.177960395812988
14,3,1,4.633006572723389
15,3,2,4.466935157775879
16,3,3,4.262484073638916
17,3,4,3.8323099613189697
18,3,5,3.625809907913208
19,3,6,3.5920631885528564
20,3,7,3.334899663925171
21,4,1,3.249875068664551
22,4,2,2.9792850017547607
23,4,3,2.894012689590454
24,4,4,2.8646299839019775
25,4,5,2.3944883346557617
26,4,6,2.3997223377227783
27,4,7,2.4514923095703125
28,5,1,2.2519240379333496
29,5,2,2.334192991256714
30,5,3,2.2352070808410645
31,5,4,2.0828938484191895
32,5,5,2.042351484298706
33,5,6,2.078932762145996
34,5,7,2.0229313373565674
35,6,1,1.9742152690887451
36,6,2,1.9624682664871216
37,6,3,1.8702536821365356
38,6,4,1.7501769065856934
39,6,5,1.9040193557739258
40,6,6,1.7850397825241089
41,6,7,1.7112209796905518
42,7,1,1.7293701171875
43,7,2,1.6882120370864868
44,7,3,1.7191704511642456
45,7,4,1.7135937213897705
46,7,5,1.6498472690582275
47,7,6,1.627768635749817
48,7,7,1.5809791088104248
49,8,1,1.606337547302246
50,8,2,1.6189128160476685
51,8,3,1.5966624021530151
52,8,4,1.6264104843139648
53,8,5,1.5333232879638672
54,8,6,1.4972753524780273
55,8,7,1.516928791999817
56,9,1,1.5587602853775024
57,9,2,1.4705512523651123
58,9,3,1.4717435836791992
59,9,4,1.379617691040039
60,9,5,1.4882562160491943
61,9,6,1.5432894229888916
62,9,7,1.5265575647354126
63,10,1,1.4119806289672852
64,10,2,1.557485818862915
65,10,3,1.540053129196167
66,10,4,1.351942539215088
67,10,5,1.5125617980957031
68,10,6,1.5004514455795288
69,10,7,1.4257700443267822
