step,epoch,iteration,loss
0,1,1,10.499359130859375
1,1,2,7.510273456573486
2,1,3,8.73628044128418
3,1,4,9.840831756591797
4,1,5,9.62333869934082
5,1,6,8.87909984588623
6,1,7,8.739255905151367
7,2,1,8.175882339477539
8,2,2,7.789003372192383
9,2,3,7.423703193664551
10,2,4,7.652172565460205
11,2,5,7.4015326499938965
12,2,6,7.061136245727539
13,2,7,6.869958400726318
14,3,1,6.507899284362793
15,3,2,5.394140720367432
16,3,3,5.16572904586792
17,3,4,5.0947699546813965
18,3,5,5.152566909790039
19,3,6,4.454875946044922
20,3,7,4.236155033111572
