epoch,iteration,loss
1,1,10.576210021972656
1,2,7.509556770324707
1,3,7.934600353240967
1,4,8.853187561035156
1,5,7.368127346038818
1,6,7.539608478546143
1,7,6.4564385414123535
1,8,6.1905622482299805
1,9,5.175027847290039
1,10,5.643934726715088
1,11,4.552026271820068
1,12,4.184114456176758
1,13,3.7671689987182617
1,14,3.5991201400756836
1,15,3.3614988327026367
1,16,3.067155122756958
1,17,3.211060047149658
1,18,2.9070534706115723
1,19,2.808131456375122
1,20,2.8054349422454834
1,21,2.7422754764556885
1,22,2.7153677940368652
1,23,2.545464277267456
1,24,2.4851720333099365
1,25,2.5810322761535645
1,26,2.1813101768493652
1,27,2.157893180847168
1,28,2.2048282623291016
1,29,2.0744502544403076
1,30,2.154520034790039
1,31,1.9966169595718384
1,32,1.9795591831207275
1,33,1.8287142515182495
1,34,1.951425552368164
1,35,1.7810741662979126
1,36,1.7941203117370605
1,37,1.8240599632263184
1,38,1.8104145526885986
1,39,1.7852929830551147
1,40,1.736612319946289
1,41,1.6724210977554321
1,42,1.613986849784851
1,43,1.6400545835494995
1,44,1.585991621017456
1,45,1.7182841300964355
1,46,1.7113555669784546
1,47,1.6463731527328491
1,48,1.6033347845077515
1,49,1.4759191274642944
1,50,1.5798579454421997
