epoch,iteration,loss
1,1,10.55799674987793
1,2,7.781945705413818
1,3,8.365592002868652
1,4,9.38969612121582
1,5,8.820265769958496
1,6,8.982807159423828
1,7,8.049429893493652
1,8,7.708382606506348
1,9,6.89451265335083
1,10,6.480381488800049
1,11,5.8890180587768555
1,12,5.059017658233643
1,13,4.776830673217773
1,14,4.4990153312683105
1,15,4.040417194366455
1,16,3.8295276165008545
1,17,3.9843409061431885
1,18,3.6380116939544678
1,19,3.474608898162842
1,20,3.3998560905456543
1,21,3.283576250076294
1,22,3.1585733890533447
1,23,3.049470901489258
1,24,2.8680005073547363
1,25,2.8766884803771973
1,26,2.4890456199645996
1,27,2.4000141620635986
1,28,2.454885482788086
1,29,2.327507734298706
1,30,2.2740190029144287
1,31,2.298034191131592
1,32,2.0875957012176514
1,33,2.0751724243164062
1,34,2.0617713928222656
1,35,1.9577839374542236
1,36,1.891269326210022
1,37,1.973526120185852
1,38,1.900514841079712
1,39,1.851635456085205
1,40,1.8010079860687256
1,41,1.7366299629211426
1,42,1.7119324207305908
1,43,1.847509503364563
1,44,1.7006514072418213
1,45,1.7067248821258545
1,46,1.7466089725494385
1,47,1.5564988851547241
1,48,1.6946825981140137
1,49,1.6530752182006836
1,50,1.7106279134750366
1,51,1.6594451665878296
1,52,1.5241645574569702
1,53,1.5687373876571655
1,54,1.5258957147598267
1,55,1.5215317010879517
1,56,1.48944091796875
1,57,1.7005441188812256
1,58,1.4000980854034424
1,59,1.475248098373413
1,60,1.4786885976791382
1,61,1.4600811004638672
1,62,1.5119813680648804
1,63,1.4270330667495728
1,64,1.3944705724716187
1,65,1.4824239015579224
1,66,1.523147463798523
1,67,1.3131648302078247
1,68,1.3926469087600708
1,69,1.4770723581314087
1,70,1.3452837467193604
1,71,1.5005851984024048
1,72,1.4417743682861328
1,73,1.3596030473709106
1,74,1.3198474645614624
1,75,1.4262466430664062
