step,epoch,iteration,loss
0,1,1,10.589597702026367
1,1,2,7.4073967933654785
2,1,3,8.486724853515625
3,1,4,9.80767822265625
4,1,5,9.444709777832031
5,1,6,8.523316383361816
6,1,7,8.474997520446777
7,1,8,7.322526454925537
8,1,9,8.137532234191895
9,1,10,7.055168628692627
10,1,11,6.480682373046875
11,1,12,5.658820629119873
12,1,13,5.412797927856445
13,1,14,5.41827392578125
14,1,15,5.013632297515869
15,1,16,4.199975967407227
16,1,17,4.505640983581543
17,1,18,4.170696258544922
18,1,19,3.980942487716675
19,1,20,3.7912228107452393
20,1,21,3.4284472465515137
21,1,22,3.584690570831299
22,1,23,3.2126011848449707
23,1,24,3.1044602394104004
24,1,25,3.1570935249328613
25,1,26,3.4733314514160156
26,1,27,2.8835697174072266
27,1,28,2.9987926483154297
28,1,29,2.439986228942871
29,1,30,2.3595283031463623
30,2,1,2.3581793308258057
31,2,2,2.2471530437469482
32,2,3,2.193892240524292
33,2,4,2.093691110610962
34,2,5,2.1834073066711426
35,2,6,2.13456654548645
36,2,7,1.8418152332305908
37,2,8,2.020761728286743
38,2,9,2.0399646759033203
39,2,10,1.9702361822128296
40,2,11,1.9480745792388916
41,2,12,1.8219547271728516
42,2,13,1.7357040643692017
43,2,14,2.100128173828125
44,2,15,1.7185471057891846
45,2,16,1.7621325254440308
46,2,17,1.7386009693145752
47,2,18,1.6381033658981323
48,2,19,1.6751735210418701
49,2,20,1.768954873085022
50,2,21,1.8110933303833008
51,2,22,1.691877007484436
52,2,23,1.5443099737167358
53,2,24,1.6121447086334229
54,2,25,1.5966508388519287
55,2,26,1.7362862825393677
56,2,27,1.5704565048217773
57,2,28,1.631271243095398
58,2,29,1.599234700202942
59,2,30,1.6137585639953613
60,3,1,1.5378899574279785
61,3,2,1.6060866117477417
62,3,3,1.5617846250534058
63,3,4,1.4504139423370361
64,3,5,1.556850790977478
65,3,6,1.5370731353759766
66,3,7,1.6491706371307373
67,3,8,1.4957587718963623
68,3,9,1.4291049242019653
69,3,10,1.4451117515563965
70,3,11,1.3712642192840576
71,3,12,1.3572500944137573
72,3,13,1.2881879806518555
73,3,14,1.5564876794815063
74,3,15,1.46450936794281
75,3,16,1.3332288265228271
76,3,17,1.4656552076339722
77,3,18,1.4493755102157593
78,3,19,1.4928956031799316
79,3,20,1.424372673034668
80,3,21,1.4165306091308594
81,3,22,1.3854625225067139
82,3,23,1.3732424974441528
83,3,24,1.322950005531311
84,3,25,1.3540928363800049
85,3,26,1.4570707082748413
86,3,27,1.3348002433776855
87,3,28,1.3451554775238037
88,3,29,1.2822771072387695
89,3,30,1.5047518014907837
