,epoch,iteration,loss
0,1,1,10.601500511169434
1,1,2,7.451167583465576
2,1,3,8.523202896118164
3,1,4,10.00871753692627
4,1,5,10.374263763427734
5,1,6,8.608614921569824
6,1,7,8.436434745788574
7,1,8,7.266979694366455
8,1,9,7.134932041168213
9,1,10,6.829484939575195
10,1,11,6.350818157196045
11,1,12,5.4159650802612305
12,1,13,4.703120231628418
13,1,14,4.638437271118164
14,1,15,4.086542129516602
15,1,16,3.839033842086792
16,1,17,4.057733535766602
17,1,18,3.763669490814209
18,1,19,3.436187267303467
19,1,20,3.632258653640747
20,1,21,3.3943333625793457
21,1,22,3.373075008392334
22,1,23,3.128999710083008
23,1,24,2.929050922393799
24,1,25,3.005897045135498
25,1,26,2.578673839569092
26,1,27,2.498727560043335
27,1,28,2.5013279914855957
28,1,29,2.43493390083313
29,1,30,2.2919368743896484
30,1,31,2.298227071762085
31,1,32,2.131249189376831
32,1,33,2.1504573822021484
33,1,34,2.187182903289795
34,1,35,2.1130571365356445
35,1,36,1.9477548599243164
36,1,37,2.0850608348846436
37,1,38,2.074333906173706
38,1,39,1.825371265411377
39,1,40,1.915332555770874
40,1,41,1.7182458639144897
41,1,42,1.8382030725479126
42,1,43,1.844025731086731
43,1,44,1.733781337738037
44,1,45,1.761997103691101
45,1,46,1.8128352165222168
46,1,47,1.666097640991211
47,1,48,1.6867539882659912
48,1,49,1.551430583000183
49,1,50,1.61360502243042
